,superficie,lat,lng,time_ctrl,personal,medios,TMEDIA,RACHA,SOL,Año,PRES_RANGE,target
147,1.0,43.513472,-8.237342,2.4,17,3,20.0,8.9,12.0,2001,5.59999999999991,1
148,1.5,42.780977,-8.802512,2.45,31,5,20.0,8.9,12.0,2001,5.59999999999991,1
149,1.0,42.53267,-9.026022,1.25,23,3,20.3,8.6,7.9,2001,2.60000000000002,1
150,1.5,42.904709,-9.268711,2.35,21,3,20.3,8.6,7.9,2001,2.60000000000002,1
151,1.5,43.115375,-8.336163,1.25,16,1,20.3,8.6,7.9,2001,2.60000000000002,1
152,1.0,43.045481,-9.179648,1.05,6,1,17.8,8.9,5.1,2001,8.10000000000002,1
153,1.5,43.229093,-8.256512,2.4,13,2,17.8,8.9,5.1,2001,8.10000000000002,2
154,2.0,43.124887,-8.833016,1.25,26,3,20.4,6.7,9.9,2001,5.79999999999995,2
155,1.0,43.100946,-8.367323,2.0,11,1,22.0,6.4,6.6,2001,4.0,1
156,1.04,42.85849,-9.096309,3.0,6,1,22.0,6.4,6.6,2001,4.0,1
157,1.0,42.935457,-9.154093,2.1,16,2,22.0,6.4,6.6,2001,4.0,1
158,1.0,42.917476,-9.082862,2.3,17,2,20.0,15.6,3.9,2001,1.70000000000005,1
159,3.0,43.141956,-9.006419,3.1,22,3,20.0,15.6,3.9,2001,1.70000000000005,1
160,1.2,43.16157,-9.076537,1.1,11,2,20.0,15.6,3.9,2001,1.70000000000005,1
161,2.0,42.786588,-8.648783,2.1,16,3,20.0,15.6,3.9,2001,1.70000000000005,2
162,1.0,43.16157,-9.076537,1.05,6,1,19.1,16.9,9.7,2001,3.70000000000005,1
163,1.0,42.732381,-8.950453,2.05,17,2,19.1,16.9,9.7,2001,3.70000000000005,1
164,1.0,43.294596,-8.801955,1.0,17,2,19.8,9.7,10.9,2001,3.29999999999995,1
165,1.2,43.123248,-9.058135,1.3,11,2,19.8,9.7,10.9,2001,3.29999999999995,1
166,1.0,42.584255,-8.976199,0.4,5,1,18.4,12.2,11.0,2001,4.39999999999998,1
167,4.0,43.124887,-8.833016,3.55,33,3,18.4,12.2,11.0,2001,4.39999999999998,1
168,1.0,43.137621,-8.789613,3.0,1,3,18.4,12.2,11.0,2001,4.39999999999998,1
169,1.77,42.97541,-9.119204,2.05,11,2,18.4,12.2,11.0,2001,4.39999999999998,1
170,4.0,42.695928,-9.004175,2.05,16,1,19.0,13.3,9.1,2001,1.60000000000002,1
171,2.0,42.607448,-8.999427,1.4,11,2,19.0,13.3,9.1,2001,1.60000000000002,1
172,1.8,43.068876,-8.926821,2.35,11,2,19.0,13.3,9.1,2001,1.60000000000002,1
173,3.0,43.090515,-9.133139,2.15,10,1,19.0,13.3,9.1,2001,1.60000000000002,1
174,1.5,42.863547,-8.073961,1.35,18,2,19.9,13.6,10.7,2001,2.0,1
175,1.1,43.291593,-8.495562,1.55,11,3,19.9,13.6,10.7,2001,2.0,1
176,1.5,43.351181,-8.482594,2.45,32,3,18.8,13.6,10.0,2001,3.10000000000002,3
177,1.2,43.036098,-8.892316,3.55,11,1,18.8,13.6,10.0,2001,3.10000000000002,1
178,4.0,43.501867,-8.287932,2.3,12,3,18.8,13.6,10.0,2001,3.10000000000002,2
179,1.0,43.546643,-8.284681,0.25,8,1,18.8,13.6,10.0,2001,3.10000000000002,1
180,1.8,42.732381,-8.950453,2.45,12,2,18.8,13.6,10.0,2001,3.10000000000002,1
181,1.4,43.506013,-8.11102,0.55,6,1,18.8,13.6,10.0,2001,3.10000000000002,3
182,1.3,43.074649,-9.055546,2.0,17,3,18.8,13.6,10.0,2001,3.10000000000002,1
183,4.15,43.16157,-9.076537,1.3,14,8,18.8,13.6,10.0,2001,3.10000000000002,1
184,1.9,42.973696,-8.862134,1.3,15,2,18.8,13.6,10.0,2001,3.10000000000002,3
185,1.08,42.990393,-8.908956,1.35,6,1,18.8,13.6,10.0,2001,3.10000000000002,1
186,4.0,42.687163,-8.976258,3.0,16,2,18.8,13.6,10.0,2001,3.10000000000002,1
187,2.5,43.085602,-8.552529,1.4,14,2,18.8,13.6,10.0,2001,3.10000000000002,1
188,2.8,42.607448,-8.999427,3.25,19,1,18.8,13.6,10.0,2001,3.10000000000002,1
189,1.5,42.607448,-8.999427,0.4,11,2,18.2,11.4,8.3,2001,1.89999999999998,1
190,2.0,42.687163,-8.976258,3.15,16,2,18.2,11.4,8.3,2001,1.89999999999998,1
191,1.5,42.81202,-8.765401,0.4,10,2,18.2,11.1,10.0,2001,2.80000000000007,1
192,1.4,42.780977,-8.802512,2.1,8,1,18.2,11.1,10.0,2001,2.80000000000007,1
193,3.7,42.883818,-8.802674,4.1,11,2,18.2,11.1,10.0,2001,2.80000000000007,1
194,6.0,42.780977,-8.802512,3.35,32,5,18.2,11.1,10.0,2001,2.80000000000007,1
195,7.0,42.780977,-8.802512,3.0,21,5,18.2,11.1,10.0,2001,2.80000000000007,1
196,1.6,42.903258,-8.81752,2.35,11,1,18.2,11.1,10.0,2001,2.80000000000007,2
197,1.01,42.700129,-8.928184,2.4,13,2,18.2,11.1,10.0,2001,2.80000000000007,1
198,1.3,43.045481,-9.179648,1.1,6,1,19.0,15.3,10.6,2001,3.39999999999998,1
199,1.0,43.351181,-8.482594,2.05,9,2,19.0,15.3,10.6,2001,3.39999999999998,1
200,3.0,43.515554,-8.137555,1.45,11,2,19.0,15.3,10.6,2001,3.39999999999998,1
201,1.2,42.607448,-8.999427,1.15,1,1,19.0,15.3,10.6,2001,3.39999999999998,1
202,2.1,42.732381,-8.950453,3.2,7,1,19.0,15.3,10.6,2001,3.39999999999998,1
203,4.0,43.367059,-8.090466,2.5,24,5,19.0,15.3,10.6,2001,3.39999999999998,2
